13,01/02/2013,1114,,BGN 10048,20
35,31/03/2013,1113,,BGN 10047,19
12,03/02/2013,1112,,BGN 10046,OMV
43,20/04/2013,1110,,BGN 10044,6
38,10/04/2013,1109,,BGN 10043,LUKOIL
54,13/06/2013,1107,,BGN 10041,23
40,19/04/2013,1105,,BGN 10039,
11,28/01/2013,1104,,BGN 10038,PAYPAL
51,19/05/2013,1102,,BGN 10036,PAYPAL
32,19/03/2013,1101,,BGN 10035,PAYPAL
31,19/03/2013,1100,,BGN 10034,PAYPAL
30,19/03/2013,1099,,BGN 10033,PAYPAL
49,14/05/2013,1014,,BGN 10014,LUKOIL
59,27/06/2013,1013,,BGN 10013,OMV
45,28/04/2013,1012,,BGN 10012,66
55,19/06/2013,1011,,BGN 10011,223
16,08/02/2013,1010,,BGN 10010,PAYPAL
65,23/07/2013,1008,,BGN 10008,OMV
50,16/05/2013,1006,,BGN 10006,24
21,02/03/2013,1005,,BGN 10005,LUKOIL
25,16/03/2013,1004,,BGN 10004,LUKOIL
10,26/01/2013,1003,,BGN 10003,EKO
36,31/03/2013,1002,,BGN 10001,LUKOIL
20,04/03/2013,1001,,BGN 10000,11
42,19/04/2013,120,,BGN 10031,PAYPAL
63,19/07/2013,119,,BGN 10030,PAYPAL
68,19/08/2013,118,,BGN 10029,PAYPAL
57,19/06/2013,117,,BGN 10028,PAYPAL
66,09/08/2013,116,,BGN 10027,7
27,19/03/2013,115,,BGN 10026,
15,06/02/2013,113,,BGN 10024,2
22,02/03/2013,112,,BGN 10023,13
26,19/03/2013,111,,BGN 10022,
39,16/04/2013,109,,BGN 10020,22
70,23/08/2013,108,,BGN 10019,OMV
47,05/05/2013,107,,BGN 10018,LUKOIL
53,05/06/2013,106,,BGN 10017,OMV
61,11/07/2013,76,,USD 440,GOOGLE
71,24/08/2013,74,,HUF 2750800,OMV
23,04/03/2013,72,,GBP 9949,11
76,25/08/2013,71,,EUR 27609,21
75,25/08/2013,70,,EUR 27608,8
3,13/01/2013,69,,EUR 27607,16
48,11/05/2013,68,,EUR 27606,GOOGLE
5,13/01/2013,67,,EUR 27605,EUROPCAR
9,13/01/2013,66,,EUR 27604,35
74,25/08/2013,64,,EUR 27602,10
72,25/08/2013,63,,EUR 27601,18
4,13/01/2013,62,,EUR 27600,55
73,25/08/2013,60,,CZK 15800,OMV
18,14/02/2013,59,,BGN 10055,LUKOIL
60,04/07/2013,58,,BGN 10054,OMV
64,20/07/2013,56,,BGN 10052,OMV
14,03/02/2013,55,,BGN 10051,EKO
37,10/04/2013,,88,Кирил 10,Захранванe
62,23/07/2013,,85,Кирил 17,Плащания
24,08/03/2013,,91,Кирил 7,Захранванe
19,27/02/2013,,92,Кирил 6,Захранванe
58,26/06/2013,,84,Кирил 16,Захранванe
17,14/02/2013,,91,Кирил 5,2
67,20/08/2013,,86,Кирил 18,Захранванe
69,21/08/2013,,87,Кирил 19,Плащания
56,21/06/2013,,83,Кирил 15,Плащания
52,21/05/2013,,84,Кирил 14,Плащания
28,19/03/2013,,150.91,BGN 10016,
29,19/03/2013,,30.16,BGN 10032,PAYPAL
46,07/05/2013,,85,Кирил 13,Захранванe
44,26/04/2013,,86,Кирил 12,Захранванe
8,21/12/2012,,100.03,BGN 10002,9
7,23/01/2013,,90,Кирил 4,Захранванe
6,20/01/2013,,89,Кирил 3,Захранванe
41,23/04/2013,,87,Кирил 11,Плащания
33,26/03/2013,,90,Кирил 8,Захранванe
34,26/03/2013,,89,Кирил 9,3
2,10/01/2013,,88,Кирил 2,4
1,03/01/2013,,87,Кирил 1,Захранванe
